name	alias	rule	topic_ecosystem	notes
	ReductiveCitricAcidCycle	K00169 | EC:1.2.7.1,K00170 | EC:1.2.7.1,K00171 | EC:1.2.7.1,K00172 | EC:1.2.7.1,K03737 | EC:1.2.7.1,K01007 | EC:2.7.9.2,K01006 | EC:2.7.9.1,K01595 | EC:4.1.1.31,K01959 | EC:6.4.1.1,K01960 | EC:6.4.1.1,K01958 | EC:6.4.1.1,K00024 | EC:1.1.1.37,K01676 | EC:4.2.1.2,K01679 | EC:4.2.1.2,K01677 | EC:4.2.1.2,K01678 | EC:4.2.1.2,K00239 | [EC:1.3.5.1 & EC:1.3.5.4],K00240 | [EC:1.3.5.1 & EC:1.3.5.4],K00241 | [EC:1.3.5.1 & EC:1.3.5.4],K00242 | [EC:1.3.5.1 & EC:1.3.5.4],K00244 | [EC:1.3.5.1 & EC:1.3.5.4],K00245 | [EC:1.3.5.1 & EC:1.3.5.4],K00246 | [EC:1.3.5.1 & EC:1.3.5.4],K00247 | [EC:1.3.5.1 & EC:1.3.5.4],K18556 | EC:1.3.1.6,K18557 | EC:1.3.1.6,K18558 | EC:1.3.1.6,K18559 | EC:1.3.1.6,K18560 | EC:1.3.1.6,K01902 | EC:6.2.1.5,K01903 | EC:6.2.1.5,K00031 | EC:1.1.1.42,K01681 | EC:4.2.1.3,K01682 | EC:4.2.1.3,K15230 | EC:2.3.3.8,K15231 | EC:2.3.3.8,K15232 | EC:6.2.1.18,K15233 | EC:6.2.1.18,K15234 | EC:4.1.3.34	carbon
	HydroxypropionateHydroxybutylate	percent(50, HydroxypropionateHydroxybutylateCycle)	carbon
	HydroxypropionateHydroxybutylateCycle	K01964 | [EC:6.4.1.2 & EC:6.4.1.3],K15037,K15036 | [EC:6.4.1.2 & EC:6.4.1.3],K15017 | EC:1.2.1.75,K15039 | EC:1.1.1.298,K15018 | EC:6.2.1.36,K15019 | EC:4.2.1.116,K15020 | EC:1.3.1.84,K05606 | EC:5.1.99.1,K01848 | EC:5.4.99.2,K01849 | EC:5.4.99.2,K15038 | EC:1.2.1.76,K14465 | EC:1.1.1.-,K14466 | EC:6.2.1.40,K18861 | EC:6.2.1.40,K14534 | [EC:4.2.1.120 & EC:5.3.3.3,K15016] | [EC:4.2.1.17 & EC:1.1.1.35],K00626 | EC:2.3.1.9	carbon
	DicarboxylateHydroxybutyrate	percent(50, DicarboxylateHydroxybutyrateCycle)	carbon
	DicarboxylateHydroxybutyrateCycle	K00169 | EC:1.2.7.1,K00170 | EC:1.2.7.1,K00171 | EC:1.2.7.1,K00172 | EC:1.2.7.1,K01007 | EC:2.7.9.2,K01595 | EC:4.1.1.31,K00024 | EC:1.1.1.37,K01676 | EC:4.2.1.2,K01677 | EC:4.2.1.2,K01678 | EC:4.2.1.2,K00239 | [EC:1.3.5.1 & EC:1.3.5.4],K00240 | [EC:1.3.5.1 & EC:1.3.5.4,K00241] | [EC:1.3.5.1 & EC:1.3.5.4],K18860 | [EC:1.3.5.1 & EC:1.3.5.4],K01902 | EC:6.2.1.5,K01903 | EC:6.2.1.5,K15038 | EC:1.2.1.76,K15017 | EC:1.2.1.76,K14465 | EC:1.1.1.-,K14467 | EC:6.2.1.40,K18861 | EC:6.2.1.40,K14534 | EC:4.2.1.120,K15016 | [EC:4.2.1.17 & EC:1.1.1.35],K00626 | EC:2.3.1.9	carbon
	3Hydroxypropionate	MalylCoA_SCitramalylCoALyase & 3HydroxypropionateCycle50p	carbon
	3HydroxypropionateCycle50p	percent(50, 3HydroxypropionateCycle)	carbon
	3HydroxypropionateCycle	K14449 | EC:4.2.1.148,K14470 | EC:5.4.1.3,K09709 | EC:4.2.1.153	carbon
	MalylCoA_SCitramalylCoALyase	K08691 | MalylCoA_SCitramalylCoALyaseEC:	carbon
	MalylCoA_SCitramalylCoALyaseEC:	EC:4.1.3.24 & EC:4.1.3.25	carbon
	ReductiveAcetylCoAWoodLjungdahl	folD & fhs & fdh & 1ofCODehydrogenase	carbon
	folD	K01491 | EC:1.5.1.5 | K01491 | EC:3.5.4.9	carbon
	fhs	K01938 | EC:6.3.4.3	carbon
	fdh	K05299 | [EC:1.17.1.10 & K15022] | [EC:1.17.1.10 & K22015] | EC:1.17.98.4	carbon
	1ofCODehydrogenase	at_least(1, PRESENCE, CODehydrogenaseCycle)	carbon
	CODehydrogenaseCycle	K00198 | EC:1.2.7.4,K07321,K14138 | EC:2.3.1.169,K00197 | EC:2.1.1.245,K00194 | EC:2.1.1.245,K15023 | EC:2.1.1.258	carbon
	reductive_glycine_pathway	[fdh_1 | fdh_2 | fdh_3 | fdh_4]  &  GCS  &  K01938  &  K01491  &  [GLYroute1 | GLYroute2]	carbon
	fdh_1	at_least(4, PRESENCE, [K00122,K00123,K00126,K00127,K22515])	carbon
	fdh_2	K05299 & K15022	carbon
	fdh_3	at_least(3, PRESENCE, [K22338,K22339,K22340,K22341])	carbon
	fdh_4	K08348 & K08349 & K08350	carbon
	GCS	at_least(3, PRESENCE, [[K00281 | [K00282 & K00283]],K00605,K00382])	carbon
	GLYroute1	at_least(5, PRESENCE, [K10670,K10671,K10672,K21576,K21577,K03671,K00384]) & [pta | ack]	carbon
	pta	K00625 | K13788 | K04020 | K15024	carbon
	ack	K00925	carbon
	GLYroute2	K00600 & K01752	carbon
Carboxydotroph	carboxydotroph	AerobicCODH | [cooS_acsA & not(ReductiveAcetylCoAWoodLjungdahl)]	carbon	Jared check
	cooS_acsA 	K00198	carbon
	AerobicCODH	K03518	carbon
Hydrogen use	HydrogenUse	NiFe_group1 | NiFe_group2 | NiFe_group3 | NiFe_group4 | FeFe_GroupA | FeFe_GroupB | FeFe_GroupC | FeFe_GroupE | FeFe_GroupF 	carbon
N mineralization	NMineralization	A01 | A02 | A05 | A08 | A11 | A22 | A24 | A26 | A28 | A31 | A32 | A37 | C01 | C02 | C10 | C11 | C110 | C113 | C13 | C14 | C15 | C19 | C25 | C26 | C39 | C40 | C44 | C45 | C46 | C47 | C51 | C56 | C59 | C60 | C66 | C69 | C82 | C83 | C89 | C93 | G01 | M01 | M02 | M03 | M04 | M05 | M06 | M07 | M08 | M09 | M10 | M11 | M12 | M13 | M14 | M15 | M16 | M17 | M18 | M19 | M20 | M23 | M24 | M26 | M28 | M30 | M32 | M34 | M35 | M36 | M38 | M41 | M42 | M43 | M44 | M48 | M49 | M50 | M54 | M55 | M56 | M57 | M60 | M61 | M64 | M66 | M67 | M72 | M73 | M74 | M75 | M76 | M78 | M79 | M81 | M82 | M84 | M85 | M86 | M88 | M93 | M96 | M97 | M98 | N04 | N10 | N11 | P01 | S01 | S06 | S08 | S09 | S10 | S11 | S12 | S13 | S14 | S15 | S16 | S24 | S26 | S28 | S33 | S37 | S41 | S45 | S46 | S49 | S50 | S51 | S53 | S54 | S55 | S59 | S60 | S66 | S73 | T01 | T02 | T03 | T05 | T07 | U32 | U62 | U69 | U72 | U73 | U74 	carbon
